Category,subcategory,sublink,datalink
Autos,Auto-Erotica,http://www.snopes.com/autos/erotica/erotica.asp,http://www.snopes.com/pregnant/rammed.asp
Autos,Auto-Erotica,http://www.snopes.com/autos/erotica/erotica.asp,http://www.snopes.com/love/betrayal/stuckcouple.asp
Autos,Auto-Erotica,http://www.snopes.com/autos/erotica/erotica.asp,http://www.snopes.com/risque/aphrodisiacs/gearshift.asp
Autos,Auto-Erotica,http://www.snopes.com/autos/erotica/erotica.asp,http://www.snopes.com/love/dating/fart.asp
Autos,Insurance Inanity,http://www.snopes.com/autos/insurance/insurance.asp,http://www.snopes.com/humor/lists/insurance.asp
Autos,Insurance Inanity,http://www.snopes.com/autos/insurance/insurance.asp,http://www.snopes.com/autos/insurance/richer.asp
Autos,Better Business,http://www.snopes.com/autos/business/business.asp,http://www.snopes.com/photos/advertisements/hondacog.asp
Autos,Better Business,http://www.snopes.com/autos/business/business.asp,http://www.snopes.com/business/consumer/barrow.asp
Autos,Better Business,http://www.snopes.com/autos/business/business.asp,http://www.snopes.com/business/misxlate/nova.asp
Autos,Better Business,http://www.snopes.com/autos/business/business.asp,http://www.snopes.com/autos/business/carburetor.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/handcuff.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/noplate.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/highways.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/mrsbrown.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/carpool.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/eno.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/posse.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/thenote.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/copcar.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/decoy.asp
Autos,I Fought the Law ,http://www.snopes.com/autos/law/law.asp,http://www.snopes.com/autos/law/shotcar.asp
